Run #1	Run #1	Run #1	Run #1	Run #1	Run #1	Run #1	Run #2	Run #2	Run #2	Run #2	Run #2	Run #2	Run #2	Run #3	Run #3	Run #3	Run #3	Run #3	Run #3	Run #3	Run #4	Run #4	Run #4	Run #4	Run #4	Run #4	Run #4	Run #5	Run #5	Run #5	Run #5	Run #5	Run #5	Run #5
Time (s)	Angle (rad)	Angular Velocity (rad/s)	Angular Acceleration (rad/s²)	Position (m)	Velocity (m/s)	Acceleration (m/s²)	Time (s)	Angle (rad)	Angular Velocity (rad/s)	Angular Acceleration (rad/s²)	Position (m)	Velocity (m/s)	Acceleration (m/s²)	Time (s)	Angle (rad)	Angular Velocity (rad/s)	Angular Acceleration (rad/s²)	Position (m)	Velocity (m/s)	Acceleration (m/s²)	Time (s)	Angle (rad)	Angular Velocity (rad/s)	Angular Acceleration (rad/s²)	Position (m)	Velocity (m/s)	Acceleration (m/s²)	Time (s)	Angle (rad)	Angular Velocity (rad/s)	Angular Acceleration (rad/s²)	Position (m)	Velocity (m/s)	Acceleration (m/s²)
3.050	26.232	17.453	5.236	0.3758	0.250	0.075	3.050	25.203	17.104	6.981	0.3610	0.245	0.100	3.050	25.831	17.104	5.236	0.3700	0.245	0.075	3.050	25.639	17.279	5.236	0.3673	0.248	0.075	3.050	25.674	17.279	5.236	0.3677	0.248	0.075
3.100	27.105	17.802	6.981	0.3883	0.255	0.100	3.100	26.075	17.453	3.491	0.3735	0.250	0.050	3.100	26.686	17.279	3.491	0.3823	0.247	0.050	3.100	26.512	17.628	6.981	0.3798	0.252	0.100	3.100	26.546	17.453	5.236	0.3803	0.250	0.075
3.150	28.013	18.151	5.236	0.4012	0.260	0.075	3.150	26.948	17.453	3.491	0.3860	0.250	0.050	3.150	27.559	17.453	5.236	0.3948	0.250	0.075	3.150	27.402	17.977	5.236	0.3925	0.257	0.075	3.150	27.419	17.802	6.981	0.3927	0.255	0.100
3.200	28.920	18.326	5.236	0.4142	0.263	0.075	3.200	27.821	17.802	6.981	0.3985	0.255	0.100	3.200	28.431	17.802	6.981	0.4073	0.255	0.100	3.200	28.309	18.151	3.491	0.4055	0.260	0.050	3.200	28.327	18.151	5.236	0.4057	0.260	0.075
3.250	29.845	18.675	5.236	0.4275	0.267	0.075	3.250	28.728	18.151	5.236	0.4115	0.260	0.075	3.250	29.339	18.151	3.491	0.4203	0.260	0.050	3.250	29.217	18.326	5.236	0.4185	0.262	0.075	3.250	29.234	18.326	3.491	0.4187	0.262	0.050
3.300	30.788	18.850	3.491	0.4410	0.270	0.050	3.300	29.636	18.326	3.491	0.4245	0.262	0.050	3.300	30.247	18.151	1.745	0.4333	0.260	0.025	3.300	30.142	18.675	5.236	0.4318	0.268	0.075	3.300	30.159	18.500	3.491	0.4320	0.265	0.050
3.350	31.730	19.024	5.236	0.4545	0.272	0.075	3.350	30.561	18.500	5.236	0.4378	0.265	0.075	3.350	31.154	18.326	5.236	0.4463	0.262	0.075	3.350	31.084	18.850	3.491	0.4453	0.270	0.050	3.350	31.084	18.675	5.236	0.4453	0.267	0.075
3.400	32.690	19.373	5.236	0.4682	0.277	0.075	3.400	31.486	18.850	5.236	0.4510	0.270	0.075	3.400	32.079	18.675	6.981	0.4595	0.267	0.100	3.400	32.027	19.024	5.236	0.4588	0.272	0.075	3.400	32.027	19.024	6.981	0.4588	0.272	0.100
3.450	33.667	19.548	3.491	0.4823	0.280	0.050	3.450	32.446	19.024	3.491	0.4647	0.273	0.050	3.450	33.022	19.024	5.236	0.4730	0.273	0.075	3.450	32.987	19.373	6.981	0.4725	0.278	0.100	3.450	32.987	19.373	5.236	0.4725	0.278	0.075
3.500	34.645	19.722	5.236	0.4963	0.283	0.075	3.500	33.388	19.199	5.236	0.4783	0.275	0.075	3.500	33.982	19.199	3.491	0.4868	0.275	0.050	3.500	33.964	19.722	5.236	0.4865	0.282	0.075	3.500	33.964	19.548	5.236	0.4865	0.280	0.075
3.550	35.640	20.071	6.981	0.5105	0.287	0.100	3.550	34.366	19.548	5.236	0.4923	0.280	0.075	3.550	34.941	19.373	5.236	0.5005	0.277	0.075	3.550	34.959	19.897	3.491	0.5008	0.285	0.050	3.550	34.941	19.897	5.236	0.5005	0.285	0.075
3.600	36.652	20.420	6.981	0.5250	0.292	0.100	3.600	35.343	19.722	3.491	0.5062	0.282	0.050	3.600	35.919	19.722	5.236	0.5145	0.282	0.075	3.600	35.954	20.071	5.236	0.5150	0.287	0.075	3.600	35.954	20.071	3.491	0.5150	0.287	0.050
3.650	37.682	20.769	3.491	0.5398	0.297	0.050	3.650	36.338	19.897	3.491	0.5205	0.285	0.050	3.650	36.914	19.897	3.491	0.5288	0.285	0.050	3.650	36.966	20.420	5.236	0.5295	0.292	0.075	3.650	36.949	20.246	5.236	0.5293	0.290	0.075
